VISl_layer23,VISl_layer4,VISl_layer5,VISl_layer6,VISpm_layer23,VISpm_layer4,VISpm_layer5,VISpm_layer6,VISam_layer23,VISam_layer4,VISam_layer5,VISp_layer23,VISp_layer4,VISp_layer5,VISp_layer6,VISrl_layer23,VISrl_layer4,VISrl_layer5,VISal_layer23,VISal_layer4,VISal_layer5
0.13729376628254555,0.1164531142408503,0.2051734590210491,0.1426629439637093,0.5187961239569163,0.2830337892563805,0.11412344672064847,0.762786767983073,0.6598531880996895,0.5151510842962245,0.6246141342928536,0.23654643982141935,0.3230529775439292,0.17268178335624318,-0.20245719976179496,0.5902452017930444,0.45736043705233337,-0.3330725903363798,0.5412066626010722,0.1627552584054568,0.30704686012610943
0.026130641983206335,0.1441826288974849,0.06773553965544714,0.16377395917694323,0.13874087157855214,0.5314190058167196,0.1700310631902293,0.772645459448823,0.3128858514050164,0.023301502003537426,0.7323725495999782,0.11748091924904103,0.08298322040312867,0.1939671164678818,0.4923942097389955,0.5695230702978266,0.16485085564543608,0.2744199060323642,0.24459226873111842,0.2425337973916117,0.2979195310624454
0.04148373947382107,0.21202551962740496,0.04778370416032004,0.36910761691210975,0.08670472775150373,0.29515994474709145,0.12175285502188525,0.7984480165928365,0.32494384250198194,0.07663575130057383,0.26521044497437657,0.11228023562442127,0.043158775823958447,0.08545700964728278,0.0032737949815862515,0.499560669904823,0.27061627113169906,-0.35734637755437343,0.5209807335922505,0.1670797887537823,0.5927490163624151
0.1267940558868409,0.24320152541405193,0.23966297856886912,0.28529765792127465,0.35265026416097583,0.33345234130821894,0.38434169380969074,0.8123557677491933,0.41299175356467865,0.4772258118743017,0.6424384447090539,0.20252350254624174,0.24390420544624178,0.31231991892741245,0.16719739086806926,0.8767403551541164,0.5810146548985334,0.37963230926558167,0.5666013613020493,0.24516908866906642,0.578053364038599
0.10261944430708336,0.03749916674224779,0.06826858223987245,0.3479899767195335,0.10121302683333004,0.08606173246109221,0.024850932126042342,0.7280322565258839,0.2918522492913324,0.144370683459348,-0.03454178243465315,0.13861846714643442,0.12646987568412024,0.2646309321808337,0.44718960614612985,0.2523800010394999,0.18029117265959385,-0.36493321502421255,0.420113144958255,0.040483340727555994,0.3774851040943217
0.07811967751018631,0.13538519485260198,0.0929676410718829,0.37951186210473675,0.189644780088437,0.06696277456601729,0.22666217932206995,0.5374875705868634,0.13388699382696012,0.043617373313324534,0.4883605529354132,0.1870162061642953,0.16451873552994614,0.2728298054529943,0.3611074469202754,0.3933393137636976,0.3528692822412262,0.9934263343308911,0.1892843928142892,0.035845003865204526,0.23774434769351896
0.14789858809977927,0.25198663048055026,0.11968372392180546,0.15583239016842887,0.27597228701702775,0.07528788530551633,0.0629068097116998,0.32581477000272063,0.4863806017985949,0.1481664328492358,0.7254553661978375,0.2115619966138437,0.19460218467525595,0.5188155125016308,0.17467231009996823,0.3404858521913961,0.5047515326129617,-0.3997562853577662,0.40236391860789433,0.2461089911391984,0.3941163816185789
0.07002661163320113,0.13825782317220256,0.0967535653923411,0.26024155899082524,0.17919677966189976,0.11382090582220414,0.07853866312156496,0.5844012619691245,0.3745199130676009,0.08874363740712543,0.6654761447830365,0.25733627565792977,0.14042011558282985,0.22089703849670494,-0.11572883276576361,0.5179188645408603,0.4317287646128519,-0.39421985776308244,0.7527796067607266,0.32299342175661155,0.22204625194649494
0.07080024338521702,0.1271720721121718,0.10253160146420434,0.0906747222312486,0.19148886847763183,0.11691477466277139,0.14101015371173592,0.2650983240270577,0.0754539854047179,-0.018845882030707195,0.9165270541672146,0.04924896076735262,0.06859998705048384,0.22339518025939495,0.16164619099028998,0.45383603291315916,0.587870532636268,0.9196829465449997,0.5988212883708883,0.19310568231238454,0.29708863439256517
0.2352514964201592,0.22422797618822432,0.22371057194637847,0.31707357282455856,0.42777622044038194,0.20574031739786075,0.2576628049083001,0.46308421283022344,0.3403236272894111,0.1005440830234416,0.18837115487541556,0.24552890910004632,0.23150940312838542,0.36634176557960907,0.1614548126485377,0.37402980828589827,0.6588235409544129,0.9572901375566585,0.416826137945363,0.45953414189328307,0.38092027376690296
